	file	artist	title	lyrics
909	TRACZJA128F429E665.h5	Novaspace	Guardian Angel	"I feel I'm falling apart 'cos I know
I've lost my guardian angel –
A fleeting glimpse of your heart
Losing right from the start –
No return
And things will never be the same!

Tried to find the words that show I sympathise
Words of comfort, words that never critisize!
Though I know you're simply laughing at me
I just can't stop and simply let it be!

Where are all those feelings, all my yesterdays
Feelings, now I have bring back those bitter ways –
Though I know you wanna turn and blow
I just can't stop and simply let you go!

I feel I'm falling apart 'cos I know
I've lost my guardian angel –
A fleeting glimpse of your heart
Losing right from the start –
No return
And things will never be the same!

Let me see you smile once more that special way
Warm as summer on a chilly winter's day –
Though I know you're simply laughing at me
I just can't stop and simply let it be!

I feel I'm falling apart 'cos I know
I've lost my guardian angel –
A fleeting glimpse of your heart
Losing right from the start –
No return
(There's no return)
And things will never be the same!

I feel I'm falling apart 'cos I know
I've lost my guardian angel –
(Guardian angel)
A fleeting glimpse of your heart
Losing right from the start –
No return
And things will never be the same!
(And things will never be the same!)"
912	TRADABC128F4274FCC.h5	Carlos Ponce	Escuchame	"Entre tu amor y el retumbar de tus latidos
En una fiesta de murmullos y gemidos
Acorralado y preso fácil de un suspiro
Ay, ay, eternamente caigo a tus pies rendido

No me importa equivocarme
Ni jugarme la razón
Con tal de probarte un beso
Vendería mi corazón

Escúchame, yo te lo pido
La vida se me hacía tan fácil
Y ahora estoy tan confundido
Porque en tu cuerpo pequeñito
Eternamente estoy perdido
Y tengo a Cristo de testigo
Que te llamo por las noches
Para que duermas conmigo

Escúchame, es demasiado


Soy tan adicto a tu cuerpo
Invítame a devorarlo
A cobijarlo con mis besos
Mírame, cómo suplico
Mi alma sabe de tu alivio
Voy cayendo lentamente
En un mágico delirio
Oh, oh, oh

Un seductor perfectamente fracasado
Al demostrarme idiotamente enamorado
Es imposible engañar esa mirada
Que después de unos minutos
Me secuestra madrugadas

Al tenerte entre mis brazos
Muere la imaginación
Se hace real la fantasía
Y se impone la pasión"
913	TRADACR12903CD10C1.h5	Colin James	Sending A Message	"You're alone
You're inside
And the North Star is hanging above your home
It's so dark
And there is no sound
Except your heart beating away like a Morse code

Out it goes across the lake
The prairie grass lies down in waves
A thousand miles are gone when it comes through

You know that
I'm sending a message to you

Catching light as it goes by
Like comet trails streaking across the sky
And ride it down to anywhere you are

If I'm not right there next to you
And a word can't travel across the room
That anytime you're gone you're gone too far

I, I'm sending a message out to you
I, I'm sending a message out to you

When you heat up the sound
Hold up your hands
The wave comes in at the edge of the land

Sending a message out to you
Sending a message, a message out to you

You smile
Because you feel it
Everything's starting to glow and you start to heal it

I, I'm sending a message out to you
I, I'm sending a message out to you"
914	TRADAFY128F145B77B.h5	Marlene Dietrich	Auf Der Mundharmonika	"Später, später bleibt vom Wagen nicht einmal die Wagenspur.
Niemand, niemand wird dann fragen, wer in diesem Wagen fuhr.
Alle Worte, die wir sagen, rauschen dann wie Bäume nur.

Und das Lied, das uns erklungen, auf der Mundharmonika
Wird dereinst vom Wind gesungen und heißt nur noch Lalala.

Alte Wege, die wir wandern, werden neue Wege sein.
Unser Denkmal ist den anderen ein Kilometerstein.
Deutschland, Frankreich, Friesland, Flandern, singend ziehen sie dort ein.

Und das Lied, das uns erklungen, auf der Mundharmonika
Wird dereinst vom Wind gesungen und heißt nur noch Lalala.
Lalala.

Singt einmal ein anderer Sänger den Verliebten leis ins Ohr.
Sitzen die wohl auch nicht länger als wir saßen längst zuvor.
Doch dann kümmert´s uns nicht länger, wer an wen sein Herz verlor.

Und das Lied, das uns erklungen, auf der Mundharmonika
Wird dereinst vom Wind gesungen und heißt nur noch Lalala.
Lalala."
917	TRADAOM128F4263A78.h5	John Mayer	Something's Missing	"I'm not alone
I wish I was
Cause then I'd know I was down because
I couldn't find a friend around
To love me like they do right now
They do right now

I'm dizzy from the shopping mall
I searched for joy but I bought it all
It doesn't help the hunger pain
And a thirst I'd have to drown first to ever satiate

Something's missing
And I don't know how to fix it
Something's missing
And I don't know what it is
At all

When autumn comes
It doesn't ask
It just walks in where it left you last
You never know when it starts
Until there's fog inside the glass around your summer heart

Something's missing
And I don't know how to fix it
Something's missing
And I don't know what it is
At all

I can't be sure that this state of mine
Is not of my own design
I wish there was an over-the-counter test
For loneliness like this

Something's missing
And I don't know how to fix it
Something's missing
And I don't know what it is
No I don't know what it is
Something's different
And I don't know what it is
No I don't know what it is

Friends
(Check)
Money
(Check)
A well slept opposite sex
Guitar
(Check)
Microphone
(Check)
Messages waiting on me when
I come home"
921	TRADAXK12903CD05F2.h5	Dropline	Weight Of The World (Album Version)	"I am just an open book
for everyone to take a look
do my insecurities alarm you

and you can fill me up with novicane
and lithium to ease my brain
but it doesn't seem to change my point of view

I was lost and couldn't hear you
closed my eyes and couldn't see you
but everything about you is revealing

you can take the blame from me
lock it up without the key
don't you know the whole world isn't stealing
from you

Chorus:
and sometimes she puts the weight of the world on me
and she don't notice
sometimes she puts the weight of the world
yeah 
yeah yeah yeah

if you wondered what you did to me
I tangled with security
left me in the street
for dead and bleeding

but your friends all said you went away
but I think I got it right today
thought that there's a chance that you might need me

well do you?

(Chorus)

and you can take that hard look
you can take that
you can take that
and you can take that hard look

I am just an open book
for everyone to take a look
do my insecurities alarm you

you can fill me up with novicane
lithium to ease my brain
but it doesn't seem to change my point of view
about you
you

(Chorus x2)"
922	TRADAYS12903CDBE0F.h5	Furry Lewis	Judge Boushay Blues	"Good mornin' judge, what may be my fine?
Good mornin' judge, what may be my fine?
Good mornin' judge, what may be my fine?
Fifty dollars eleven twenty-nine

They arrest me for murder and I ain't never harmed a man
Arrest me for murder and I ain't never harmed a man
Arrest me for forgery and I can't even sign my name

Arrest me for murder and I ain't hurt a man
Arrest me for murder and I ain't harmed a man
Arrest Furry for forgery and he can't even sign his name

Some got six months, some got a solid year
Some got six months, some got a solid year
But me and my partner, we got lifetime here

If I just had-a known, goin' to get so long
If I just had-a known, I was goin' to get so long
Boy if I had-a known, I was goin' to get so long
Some Western country would have been my home

Western country would have been my home
Western country would have been my home

I know my baby, she don't know I'm here
I know my baby, she don't know I'm here
Boy that baby, she don't know I'm here
If she do, she sure don't feel my care"
923	TRADAZP12903D0A480.h5	Cancer Bats	Sabotage	"I can't stand it, I know you planned it
I'ma set it straight, this Watergate
I can't stand rockin' when I'm in here
'Cause your crystal ball ain't so crystal clear

So, while you sit back and wonder why
I got this fucking thorn in my side
Oh, my God, it's a mirage
I'm tellin' y'all, it's sabotage

So, so, so, so listen up 'cause you can't say nothin'
You shot me down with a push of your button
But yo, I'm out and I'm gone
I'll tell you now I keep it on and on

'Cause what you see you might not get
And we can bet, so don't you get souped yet
Scheming on a thing that's a mirage
I'm tryin' to tell you now, it's sabotage

Listen all of y'all, this is sabotage
Listen all of y'all, this is sabotage
Listen all of y'all, this is sabotage
Listen all of y'all, this is sabotage

I can't stand it, I know you planned it
I'ma set it straight, this Watergate
I can't stand rockin' when I'm in this place
'Cause I feel disgrace 'cause you're all in my face

But make no mistakes and I switch up my channel
I'm Buddy Rich when I fly off the handle
What could it be, it's all a mirage
You're scheming on a thing that's sabotage"
931	TRADBSW128F933A7A8.h5	Shakira	Loba	"Sigilosa al pasar
Sigilosa al pasar
Esa loba es especial
Mírala, caminar, caminar

Quién no ha querido a una diosa licántropa
En el ardor de una noche romántica
Mis aullidos son el llamado 
Yo quiero un lobo domesticado

Por fin he encontrado un remedio infalible que borre del todo la culpa 
No pienso quedarme a tu lado mirando la tele y oyendo disculpas
La vida me ha dado un hambre voraz y tú apenas me das caramelos 
Me voy con mis piernas y mi juventud por ahí aunque te maten los celos

Una loba en el armario
Tiene ganas de salir
(wolf howl)
Deja que se coma el barrio 
Antes de irte a dormir 

Tengo tacones de aguja magnética
Para dejar la manada frenética
La luna llena como una fruta
No da consejos ni los escucha

Llevo conmigo un radar especial para localizar solteros 
Si acaso me meto en aprietos también llevo el número de los bomberos
Ni tipos muy lindos ni divos ni niños ricos yo sé lo que quiero
Pasarla muy bien y portarme muy mal en los brazos de algún caballero

Una loba en el armario
Tiene ganas de salir
(wolf howl)
Deja que se coma el barrio 
Antes de irte a dormir 

Cuando son casi la una la loba en celo saluda a la luna
Duda si andar por la calle o entrar en un bar a probar fortuna
Ya está sentada en su mesa y pone la mira en su próxima presa
Pobre del desprevenido que no se esperaba una de esas

Sigilosa al pasar
Sigilosa al pasar
Esa loba es especial
Mírala, caminar, caminar

Deja que se coma el barrio 
Antes de irte a dormir"
932	TRADBUP128EF354F6C.h5	DJ Quik	Pacific Coast Remix	"(feat. Ludacris)

[Quik] Gotta keep it a secret (woo!)
[Luda] Ay man let me ask you somethin man
[Luda] You ever have one of them days where you felt like
[Luda] you mighta got rid of all the bad seeds in your life?
[Luda] Y'knahmean like you just got your paycheck
[Luda] Paid off a car note or somethin
[Luda] Just jumped out the shower feelin fresh than a muh'fucka
[Luda] Witcha good shoes on, y'knahmtalkinbout?
[Quik] You mean like, paid off a Cadillac car note?
[Luda] Like a Cadillac, like you ready to throw a party
[Luda] Like call e'rybody you know, don't even plan it, just do it
[Quik] In Compton we call that spur of the moment
[Luda] Well let's do it, spur of the moment, whattup?

[Ludacris]
Well you can bring the drinks a little mo' my way
More I say, on another hot sunny Cali-for-nye day
Just touched down, called up my 8-1-8
fo' a date with some other bust downs
And I cruised up the block, car losed up the top
I take the breeze, quick break the trees
Feel good as we flippin through the Robb Repo't
My baby momma ain't trippin on child suppo't

[DJ Quik]
Well my baby momma is, because she see havin kids
as a tool for gettin chips, that's with or without the dip
She told my lawyer she's a nurse but she can't spell school
Quite frankly she's a motherfuckin fool, idiot
Welcome to the city where you might see thangs
Like real threats, fake breasts, negativity hangs
over the city like a puppet string, pullin you up
You think they love you 'til the director yells cut
Now they packin you with ice and zippin you up

[Chorus]
It's on tonight, get licked, get gone tonight
[KJ] And for once, in my life, everything's gonna be, alright
G'd up, my mind is freed up
[KJ] From the day, through the night, everything's gonna be, alright

[DJ Quik]
Now on Arabian Spruce, Seagram's bumpy and juice
We used to bag and then truce, we used to sag and get loose
Not the kind of cats that's out to steal your bag and your jewels
But we check your medication just to see if you cool
You can't be dyin on us, after you live off of hemp
We party hard, like Ludacris Kim and Shock and them
We in that sunshine state where the bomb-ass hen be
And hemp be the beats we flip thee and we pimps thee simply

[Ludacris]
So stay with me, and let's get tipsy
Rememberin the days on the block sippin whiskey
Runnin 'round grinnin, runnin 'round sinnin
Gettin lit, then I wonder why my head kept spinnin
But I'm all grown up now, less throwin up now
Record blowed up, so my hood throwed up
Now let's break loose cause your boy's around
And tonight we gon' celebrate bein alive, riiiiight

[Chorus]

[Ludacris]
It's just one of those days, without a care in the world
You ain't gotta look mean, I know you care for your girl
But she's lookin this way and I'm gonna come get her
Fresh haircut, so I'm feelin quite kipper
Can't nothin go wrong cause my strap's on my back
And if fools wanna scrap then my tool will attack
But forget the click-clack, ain't no need for the steel
Just a straight house party and some meat on the grill

[DJ Quik]
Now if it's Los Angeles, watch a boss handle biz
I'ma put this on my kids, stupid it's an outfit
If you ain't been around the world keep yo' mouth zipped
Or you'll be wonderin where yo' house went
You see I'm not normal and I'm not a homo
I'm mo' apt to shoot a porno with you in cornrows
And call it ""More Hoes: Volume 5, Volume 6""
And show 'em in the back of my truck, at the FreakNic
Trick, what'chu workin with?

[Chorus] - repeat 2X"
937	TRADCHC128F42134B5.h5	Blackalicious	Rock the Spot	"[Chorus]
Homeboys take time and elevate your mind
We came to rock the spot, rock the spot
Homegirls inside just let your nature rise
We came to rock the spot, rock the spot

Now Gabby got the verbal that'll get your little wifey out her girdle
In a session with me lightin' up a little herbal
Turtle shell
School individuals that listen to me
Word it well
Given to the rapper who is livin to be heard and held
In a high esteem
I get you drunker than your bourbon, ale, liquor, malt, my assault learned it well
Turn the tables of time with my perception
Building staples of rhyme hear my reflections
""on a little"" life I'm livin in a universe with no beginning to it
So it ain't an ending and at times I get to diggin into infinite subliminably spirited
A nigga with a ""clip and send it rip         ""
Indigenous stork has just touched ground
Rappers organizations get shut down
Not that I don't wanna see my brothers succeed
But rap its like a sport, I dominate, so follow my lead
I be the G-I-F-T test me hefty left's be gettin' swung
Cruise like a jet ski
Up in yo apartment and plop on your couch y'all
Undisputed heavyweight lyrical southpaw

[Chorus]

It's like a lime to a lemon-that rhymes, I assemble them
At times when I'm ""  "" they shine you remember
""  "" divine forces ""  "" that refine men &amp; women &amp;
I rhyme for a livin', not just for the scrilla man
That isn't what it's all about, really now, valid clout
Uzi mc's I have arguments n' fallin' outs wit'
About what it's all about, ain't about foamin out the mouth
Like a walkin tall can of Guinness Stout
""        ""
When the battle cries soundin'
Ding-ding, hit 'em like, bing-bing
Eat 'em like, B-King, yet wit' no seasoning-bee sting
Wich yo girl dressed in a g-string she's swingin'
My way shorty and it sure looks good
I'm cookin up a batch of dopeness like a good cook should
I be the jack of trades, rappers pray
That I don't decapitate, after they cash his ass
Is that an irate? Great!
Grade-A, top-choice lyricism
Hey, hit me wit' that shell shocked rhythm
One time fo' the funky rhymes I say
Two times for the beat and for my DJ
It don't stop

[Chorus]

I say we drop it on a (one), we drop it on a (two)
We comin' out (fresh), and we do it (for you)
You know the deal with Blackalicious, we don't play
(from New York, NY) (to streets of LA) to (??)
You know we leave the party wreakin' a disaster
For the new ""millie"", rain like a shower
Let it seep in your pores (??)
Oh lord that's [scratch]
Rock ya from the top and to the bottom (from the bottom to the top)
(cause I grab the mic) wit the intent to get ill
A natural that you know who is (still Mrs. Field's)
So slide to the side and (take it light) and (throw your hands in the air) all night (party people in the place...)
I make 'em suffer, to the fallen mc's I'd be the (quicker pickem upper) (galactic of a nebula)
I'm rappin the spectacular, attackin whack amateurs n' back stabbin salamanders
Creepin while I'm peepin on 'em (party time)
Before I used to hit the meetings it was (Thunderbird wine) (used to drink the Ole)
Now I drink Calistoga, sober and I'm older
But the world is still gettin colder (colder)
The Gift of Gab don't stop (the way I feel I have just got to rock)

[Chorus]"
944	TRADDBK128F1483FF8.h5	R.E.M.	So. Central Rain (2006 Digital Remaster)	"Did you never call? I waited for your call
These rivers of suggestion are driving me away
The trees will bend, the cities wash away
The city on the river there is a girl without a dream
I'm sorry, I'm sorry, I'm sorry, I'm sorry

Eastern to Mountain, third party call, the lines are down
The wise man built his words upon the rocks
But I'm not bound to follow suit
The trees will bend, the conversation's dimmed
Go build yourself another home, this choice isn't mine
I'm sorry, I'm sorry, I'm sorry, I'm sorry

Did you never call? I waited for your call
These rivers of suggestion are driving me away
The ocean sang, the conversation's dimmed
Go build yourself another dream, this choice isn't mine
I'm sorry, I'm sorry, I'm sorry, I'm sorry"
946	TRADDCV128F423BAB0.h5	King Diamond	The Portrait (Live) (Reissue) (Album Version)	"""My Mother Was Obsessed By Evil Jealousy
She Didn't Want Nobody To Even Look At Molly
She Kept Me Locked Up In This Attic 'Till I Died
Only 4 Years Old, My Story Left Untold""
Oh Molly...Oh Molly

""Mother Was Struck By This Infallible Idea
If She Could Paint My Portrait I Would Remain Immortal
And I Could Hang Downstairs Above The Fireplace
A Little Girl In Lace, Not A Single Trace Of Crime""

""Each day And Night She Worked And Autumn Turned To Spring
For Every Stroke She Painted A Little Life Was Ended
At Last I Felt So Weak I Could Not Even Speak
But In That Fatal Portrait My Spirit Came To Lfe Again""

Oh Molly

""That Night I Made The Portrait Speak In Evil Tongue:
You're Gonna Go Beyond Too, May Pain And Death Bestow You
She Grabbed A Book And Spoke Aloud An Ancient Rhyme
While She Burned The Portrait In The Candle Of Fate""
Oh Molly

""I've Gotta Se Ma"""
947	TRADDCY128F931C4E6.h5	Shamen	Destination Eschaton (Hardfloor Vocal Mix)	"Ooh nobley born
Let the mind be not distracted
Though the road ahead is hard and long
And the journey seems about ending
Oh that which thou art
Let thy gaze be not deflected
Fix thy attention on the goal
And the light that shines so celestial

Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run
From Alpha into Omega
Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run
From Alpha into Omega

Pilgrim, take heart
There's a strange attraction giving strong acceleration
See the light, enter the light, become the light and shine
Like the star you know you are
Be ready for the storm
As confusion ushers in a time of chaos
But up out of turbulence
A better order surely will emerge
Synergy and harmony and wisdom will come, in time terrestrial

Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run
From Alpha into Omega
Onward ever ever on Destination Eschaton
nowhere to hide nowhere to run
From Alpha into Omega

Pilgrim, take heart
There's a strange attraction giving strong acceleration
See the light, enter the light, become the light and shine
Like the star you know you are

And on across the Rubicon
So imminentise thy Eschaton unto Ragnarock or Nemeton
And beyond in the name of Adam Kadmon, you move on
Ego gone as one
Transformation to solarisation
Towards the final confrontation
Eschaton is thy Destination

Onward ever ever on
Onward ever ever on
Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run
Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run from Alpha into Omega
Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run
Onward ever ever on Destination Eschaton
Nowhere to hide nowhere to run from Alpha into Omega

From Alpha into Omega"
953	TRADDRF128F145869F.h5	Simple Minds	Careful In Career	"Careful In Career
Take care
I take care
It's a shame
To go away
It's a shame to go away
It's a shame
To die already
Looking at you
Looking in through at me
Pouring X years of life
Pouring in ecstasy
Performance or ecstasy
I'm looking at you
Looking in through at me
I've come so far already
I've come so far already
So far
I've come so far

Careful In Career
Take care
I take care
I see the lodgers
They are walking
Hands over my eyes
I see you yawning
Shambling
Drugged up by the heat and so

Looking at you
Looking in through at me
Pouring X years of life
Pouring in ecstasy
In performance or in ecstasy
I'm looking at you
Looking in through at me
I've come so far already
I've come so far already

It's a shame
Looking at you
Looking in through at me
All in ecstasy
I've come so far already
All in ecstasy
I've come so far already
All in ecstasy
I've come so far already
I've come so far
I've come so far
It's a shame
It's a shame
Looking at you
Looking in through at me

Lyrics : J Kerr Music : Simple Minds (C) EMI Publishing Ltd Reproduced without permission"
956	TRADDXS12903CEDB38.h5	Rihanna	Don't Stop The Music	"Please don't stop the music
Please don't stop the music
Please don't stop the music
Please don't stop the music

It's getting late
I'm making my way over to
My favorite place
I gotta get my body moving
Shake the stress away
I wasn't looking for nobody when you looked my way
Possible candidate, yeah
Who knew
That you'd be up in here, looking like you do
You make and staying over here, impossible
Baby, Ima say your aura is incredible
If you don't have to go, don't

Do you know what you started?
I just came here to party
But now we're rockin on the dance floor, actin' naughty
Your hands around my waist
Just let the music play
We're hand in hand chest to chest and now we're face to face

I wanna take you away
Let's escape into the music, DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the
Please don't stop the music

Baby are you ready 'cuz it's gettin' close
Don't you feel the passion ready to explode?
What goes on between us no - one has to know
This is a private show

Do you know what you started?
I just came here to party
But now we're rockin on the dance floor, actin' naughty
Your hands around my waist
Just let the music play
We're hand in hand chest to chest and now we're face to face

I wanna take you away
Let's escape into the music, DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the
Please don't stop the music

Please don't stop the music
Please don't stop the music
Please don't stop the music
Please don't stop the music

I wanna take you away
Let's escape into the music, DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the
Please don't stop the music

Please don't stop the music
Please don't stop the music
Please don't stop the music"
958	TRADEAI12903C9B81C.h5	Dokken	Disease	"You never saw me comin' 
With your naive eyes 
You're the right kind of spirit 
With the right kind of time 
Now you don't pay attention 
We get off with a bang 
Your reckless obsession 
Washed away all your shine 

I'm you disease 

You embrace my infection 
When I cross your lips 
You pretend not to notice 
When I tighten my grip 
I'm your brand-new monkey 
On your back if you please 
Gonna show you no mercy 
When I feed your disease 

I'm your disease 

I could never ignore you 
Any time that we meet 
No sign of it slowin' 
When you're dead on your feet 
I'm your brand-new monkey 
On your back if you please 
Gonna show you no mercy 
When I feed your disease 

I'm your disease"
964	TRADESF128F4214D8E.h5	Guns N' Roses	Mama Kin	"It ain't easy livin' like a gypsy
Tell ya, honey, how it feels
I've been dreamin' floatin' down stream
And losin' touch with all that's real
Whole lotta lover, keepin' undercover
Never knowin' where you been-Oo yeah
You've been fadin', always out paradin'
Keep in touch with mama kin!

You always got your tail on the wag
Spittin' fire from your mouth
Just like a dragon
You act like a perpetual drag
You better check it out
'Cause someday soon
You'll have to climb back on the wagon

It ain't easy livin' like you wanna
It's so hard to find piece of mind
Yes it is
The way I see it
You got to say 'shit'
But don't forget to drop me a line

Bald as an egg at eighteen
And workin' for daddy's such a drag
You still stuff your mouth
With his beans
You better check it out or someday soon
You'll have to climb back on the wagon

Keep in touch with mama kin
Tell her where you gone and been
Livin' out your fantasy
Sleepin' late and smokin' tea
Keep in touch with mama kin
Tell her where you gone and been
Livin' out your fantasy
Sleepin' late and suckin' me, oh no

It ain't easy livin' like you wanna
It's so hard to find piece of mind
Yes it is
The way I see it
You got to say 'shit'
But don't forget to drop me a line

Bald as an egg at eighteen
And workin' for daddy's just a drag
You still stuff your mouth
With his beans
You better check it out or someday soon
You'll have to climb back on the wagon

Keep in touch with mama kin
Tell her where you gone and been
Livin' out your fantasy
Sleepin' late and smokin' tea
Keep in touch with mama kin
Tell her where you gone and been
Livin' out your fantasy
Sleepin' late and suckin' me
Ohh, ow, ow, ow, yeah! -ow"
966	TRADFAQ128F428AC13.h5	Skrape	Searching For Home	"Searching for home
Left all alone
Lifes on a stroll
Love comes and go's
When will it end
Nobody knows, I chose my road
I know Im a long way from home

Searching for home

Maybe Im wrong
I know what I feel
Somewhere its out there
In it Im real
But when will it end
Nobody knows, I chose my road
I know Im a long way from home

Searching for home
My home
Searching for home

And you said the journies just footsteps home
In my head, Ill never be alone
And you said my life will tell a story
But Im still none the wiser, and I cant understand

Searching for home
Left all alone
I chose my road
I know Im a long way from home
Searching for home
My home
Im all alone
Searching for home"
968	TRADFCO12903CA9439.h5	Céline Dion	The Reason I Go On	"When I'm feeling down the mention of your name
It lifts my spirit up
It makes me carry on when I don't have the strength
Your faith can heal me

Like the sun that shines
You give me light to see

Catch me 'cause I'm falling, I'm so lost inside your love
Can you hear me calling to your heart?
'Cause you're the one, the reason I go on

Could I find the words to tell you how I feel
With one look from your eyes?
I know what heaven's worth so I'd sell everything
To hold and touch you

You're the air I breath
The reason my heart beats

Catch me 'cause I'm falling, I'm so lost inside your love
Oh, can you hear me calling to your heart?
'Cause you're the one, the reason I go on
The reason I go on, yeah

Baby, I'm just dreaming
But my hope, it keeps me strong

Oh, catch me 'cause I'm falling, I'm so lost inside your love
Oh, can you hear me calling to your heart?
'Cause you're the one, the reason I go on"
971	TRADFID128F4267231.h5	Silverchair	Cicada	"When he was just a little boy
He only had one favourite toy
And he had nothing on his mind
He never left anything behind
No

As he got older, things got worse
Like he'd been born under a curse
Things started to fall apart
They weren't like they were at the start
No

It's like a civil war
Growing up
It's like a civil war
Don't turn away
It's something you can't ignore
Growing up
It's like a civil war

And now that he was in his teens
He'd started to learn what life means
Problems were still appearing
They didn't look like disappearing
No

It's like a civil war
Growing up
It's like a civil war
Don't turn away
It's something you can't ignore
Growing up
It's like a civil war

Growing up
It's like a civil war
Don't turn away
It's something you can't ignore
Growing up
It's like a civil war
Don't turn away
It's something you can't ignore
Growing up
It's like a civil war"
972	TRADFII128F931FC9F.h5	Metallica	The End Of The Line	"Need, more and more
Tainted misery
Bleed, battle scars
Chemical affinity

Reign, legacy
Innocence corrode
Stain, rot away
Catatonic overload

Choke, asphyxia
Snuff reality
Scorch, kill the light
Incinerate celebrity

Reaper, butchery
Karma amputee
Bloodline redefined
Death contagious deity

Hooked into this deceiver
Need more and more
Into the endless fever
Need more and more

New consequence machine
You burn through all your gasoline
Asylum overtime
Never mind
You've reached the end of the line

Time, choke the clock
Steal another day
Die faithfully
Narcissistic fade away

Twisted, jump the rail
Shatter the crowd below
Breaker, chase the ghost
From latest high to all-time low

Hooked into this deceiver
Need more and more
Into the endless fever
Need more and more

New consequence machine
You burn through all your gasoline
Asylum overtime
Never mind
You've reached the end of the line

Drop the hourglass of time
Spilling sand we will not find
As we gather here today
We bid farewell
The slave becomes the master
The slave becomes the master
The slave becomes the master
Yeah

The slave becomes the master
Need more and more
Right now and ever after
Need more and more

New consequence machine
Burned through all your gasoline
Asylum overtime
Never mind

Dead hourglass of time
Sand we will not ever find
We gather here today
Say goodbye
'Cause you've reached the end of the line

The end of the line
The end of the line
The end of the line

You've reached the end of the line"
975	TRADFLD12903CB3BD8.h5	Primordial	Empire Falls	"A cold wind is blowing
Through the graves it is blowing
And it bares a poisoned tongue
And the foul breath of deceit

And I am my Fathers Son
And his deeds
Cannot be undone, be undone

And you trade in his blood
Writing your history
In the sacrifices of the dead

Where is the fighting man?
Am I he?
You would trade every truth
For hollow victories
For hollow victories

And every empire will fall
Every monument crumble
Forgotten men who watch, who watch the centuries

Whose silent words rise up
Rise up in betrayal
And we will rise up
Rise up in betrayal

Where is the fighting man?
Am I he?
You would trade every truth
For hollow victories
For hollow victories

Every empire falls
And the Earth to ashes turn
The lands of my birth
Shall be my tomb

And these are the lands, the lands of my birth
Soon to be ruins, ruins of my past
And when the sky should fall
The Earth to ashes turn
Then you will know they shall be my tomb

Where is the fighting man?
I am he!
You would trade every truth
For hollow victories
For hollow victories"
976	TRADFLS128F9308E1D.h5	Chelsea	Right to Work (Live)	"Standing around just
For seven days a week
I won't even get no singing on fee
I feel ripped of, yeah
Hey, what about you?
Where was I born
What are we gonna do?
But this I say

We have the right to work

I don't even know what tomorrow will bring
But let me tell you, having no future is a terrible thing
Standing around just waiting for a career
I don't take drugs and I don't drink beer
But this I say

We have the right to work

Yes we do!
I don't even know what tomorrow will bring
Having no future is a terrible thing
Standing around just waiting for a career
I take lives and drugs
And I'm pissed up yeah
Cause I'm a nutter

We have the right to work"
